name,ic_mean,ic_std,ic_ir,ic_positive_ratio,category,depends_on_volume,ic_AUDUSD,ic_EURUSD,ic_GBPUSD,ic_USDJPY,ic_XAUUSD
RSV5,-0.13365166902359243,0.10775498410242773,-1.240329346590115,0.10340136054421768,effective,False,-0.16288271699657306,-0.1488148383919635,-0.11906910132474043,-0.11761239834279573,-0.1198792900618894
SUMD5,-0.14063541388476103,0.10863912483034918,-1.2945190243788989,0.11186903137789904,effective,False,-0.17507411092533515,-0.14383981782560082,-0.1482054385622993,-0.15321758681551098,-0.08284011529505891
SUMP5,-0.140628998775844,0.10851399043136403,-1.2959526989728847,0.11050477489768076,effective,False,-0.17417117499222592,-0.14362294697395528,-0.14823597895383717,-0.15339107166396154,-0.08372382129524007
RANK10,-0.16216957188481457,0.11157576883298224,-1.4534479446658906,0.08719346049046321,effective,False,-0.19670745876120482,-0.16215488351412857,-0.16032484490921023,-0.14795330849038985,-0.14370736374913945
BETA5,-0.1675454303333265,0.11517814701137154,-1.4546633600277035,0.08174386920980926,effective,False,-0.200962897707484,-0.15259265329536373,-0.16287722029870313,-0.18653377312491035,-0.13476060724017128
IMXD30,-0.16613005627367078,0.11074564646358462,-1.5001046233297999,0.08446866485013624,effective,False,-0.18768575584870953,-0.1480667993449022,-0.15920262696166407,-0.14393378953822356,-0.1917613096748545
CNTD10,-0.17505043853458951,0.11542148676271922,-1.5166191620322313,0.05994550408719346,effective,False,-0.19785710135996804,-0.15937591671628898,-0.1758837407749791,-0.18833649826015886,-0.15379893556155266
CNTP10,-0.1771401927244132,0.11674221291154512,-1.5173619576547797,0.05994550408719346,effective,False,-0.1987164587229042,-0.16425919933927746,-0.17636431251328513,-0.19186502188069987,-0.15449597116589925
RSV10,-0.1631458112373896,0.10596577370065384,-1.5396085503821784,0.05986394557823129,effective,False,-0.18595227614512475,-0.1723638599865831,-0.14996675361874073,-0.14978875760830648,-0.1576574088281929
RESI30,-0.17079346868533732,0.11031117342655247,-1.5482880235976753,0.06130790190735695,effective,False,-0.19788162504353524,-0.1702976788019094,-0.15389973571531007,-0.17075454303333262,-0.1611337608325992
IMXD20,-0.15584602782052764,0.10043841373530733,-1.5516575981699594,0.0776566757493188,effective,False,-0.18024623235967835,-0.15405222010400646,-0.15447752000467083,-0.13637902012988673,-0.15407514650439588
BETA20,-0.17748540288049822,0.11109855515873963,-1.5975491546843597,0.05722070844686648,effective,False,-0.17886541967999012,-0.1550347257790252,-0.17001085820819076,-0.1763536907664256,-0.20716231996885942
